Project_Name,Project_Link,HTML_Filename,Full_Filepath,Download_Status
Creekmouth Heritage Trail,https://oppla.eu/turas/case-study/creekmouth-heritage-trail,127_Creekmouth_Heritage_Trail.html,raw_html_data\127_Creekmouth_Heritage_Trail.html,Success
Crop Wild Relatives,https://oppla.eu/nordic-hub/case-study/crop-wild-relatives,060_Crop_Wild_Relatives.html,raw_html_data\060_Crop_Wild_Relatives.html,Success
Custom Build Trent Basin,https://oppla.eu/turas/case-study/custom-build-trent-basin,126_Custom_Build_Trent_Basin.html,raw_html_data\126_Custom_Build_Trent_Basin.html,Success
Danube Auen National Park Vienna Austria,https://oppla.eu/clearing-house/case-study/danube-auen-national-park-vienna-austria,111_Danube_Auen_National_Park_Vienna_Austria.html,raw_html_data\111_Danube_Auen_National_Park_Vienna_Austria.html,Success
Digital Beehive,https://oppla.eu/edicitnet/case-study/digital-beehive,053_Digital_Beehive.html,raw_html_data\053_Digital_Beehive.html,Success
Discovering Community Resources Dublin,https://oppla.eu/turas/case-study/discovering-community-resources-dublin,125_Discovering_Community_Resources_Dublin.html,raw_html_data\125_Discovering_Community_Resources_Dublin.html,Success
Ecological Restoration Coastal Dunes And Rewilding Vinhas River,https://oppla.eu/invest4nature/case-study/ecological-restoration-coastal-dunes-and-rewilding-vinhas-river,002_Ecological_Restoration_Coastal_Dunes_And_Rewilding_Vinhas_River.html,raw_html_data\002_Ecological_Restoration_Coastal_Dunes_And_Rewilding_Vinhas_River.html,Success
Edible Landscaping,https://oppla.eu/edicitnet/case-study/edible-landscaping,056_Edible_Landscaping.html,raw_html_data\056_Edible_Landscaping.html,Success
Enhancement Cultural Ecosystem Services Park Forest Grmoscica Zagreb Croatia,https://oppla.eu/clearing-house/case-study/enhancement-cultural-ecosystem-services-park-forest-grmoscica-zagreb-croatia,099_Enhancement_Cultural_Ecosystem_Services_Park_Forest_Grmoscica_Zagreb_Croatia.html,raw_html_data\099_Enhancement_Cultural_Ecosystem_Services_Park_Forest_Grmoscica_Zagreb_Croatia.html,Success
Enhancing Brussels Ecological Network Belgium,https://oppla.eu/clearing-house/case-study/enhancing-brussels-ecological-network-belgium,108_Enhancing_Brussels_Ecological_Network_Belgium.html,raw_html_data\108_Enhancing_Brussels_Ecological_Network_Belgium.html,Success
Erosion Protection Nature Based Solutions Norway,https://oppla.eu/nordic-hub/case-study/erosion-protection-nature-based-solutions-norway,061_Erosion_Protection_Nature_Based_Solutions_Norway.html,raw_html_data\061_Erosion_Protection_Nature_Based_Solutions_Norway.html,Success
Eso Es Szurkeviz Hasznositas Zugloi Hetszinvirag Ovodaban,https://oppla.eu/team-hub/case-study/eso-es-szurkeviz-hasznositas-zugloi-hetszinvirag-ovodaban,071_Eso_Es_Szurkeviz_Hasznositas_Zugloi_Hetszinvirag_Ovodaban.html,raw_html_data\071_Eso_Es_Szurkeviz_Hasznositas_Zugloi_Hetszinvirag_Ovodaban.html,Success
Esokertek Kecskemeten,https://oppla.eu/team-hub/case-study/esokertek-kecskemeten,036_Esokertek_Kecskemeten.html,raw_html_data\036_Esokertek_Kecskemeten.html,Success
First Large Land Restoration Initiative Faroe Islands,https://oppla.eu/nordic-hub/case-study/first-large-land-restoration-initiative-faroe-islands,070_First_Large_Land_Restoration_Initiative_Faroe_Islands.html,raw_html_data\070_First_Large_Land_Restoration_Initiative_Faroe_Islands.html,Success
Floating Wetland System Uto,https://oppla.eu/nordic-hub/case-study/floating-wetland-system-uto,072_Floating_Wetland_System_Uto.html,raw_html_data\072_Floating_Wetland_System_Uto.html,Success
Fu Forest Trail Fuzhou China,https://oppla.eu/clearing-house/case-study/fu-forest-trail-fuzhou-china,104_Fu_Forest_Trail_Fuzhou_China.html,raw_html_data\104_Fu_Forest_Trail_Fuzhou_China.html,Success
Fushan Ecological Park Qingdao Shandong Province China,https://oppla.eu/clearing-house/case-study/fushan-ecological-park-qingdao-shandong-province-china,091_Fushan_Ecological_Park_Qingdao_Shandong_Province_China.html,raw_html_data\091_Fushan_Ecological_Park_Qingdao_Shandong_Province_China.html,Success
Green Corridors Network Background Nbs Approach Lisbon Portugal,https://oppla.eu/conexus/case-study/green-corridors-network-background-nbs-approach-lisbon-portugal,085_Green_Corridors_Network_Background_Nbs_Approach_Lisbon_Portugal.html,raw_html_data\085_Green_Corridors_Network_Background_Nbs_Approach_Lisbon_Portugal.html,Success
Green Living Room Ludwigsburg,https://oppla.eu/turas/case-study/green-living-room-ludwigsburg,124_Green_Living_Room_Ludwigsburg.html,raw_html_data\124_Green_Living_Room_Ludwigsburg.html,Success
Green Lungs City Forest And Wetlands Park Yiwu Zhejiang Province China,https://oppla.eu/clearing-house/case-study/green-lungs-city-forest-and-wetlands-park-yiwu-zhejiang-province-china,101_Green_Lungs_City_Forest_And_Wetlands_Park_Yiwu_Zhejiang_Province_China.html,raw_html_data\101_Green_Lungs_City_Forest_And_Wetlands_Park_Yiwu_Zhejiang_Province_China.html,Success
Green Roofs Slums Rio De Janeiro Brazil,https://oppla.eu/conexus/case-study/green-roofs-slums-rio-de-janeiro-brazil,078_Green_Roofs_Slums_Rio_De_Janeiro_Brazil.html,raw_html_data\078_Green_Roofs_Slums_Rio_De_Janeiro_Brazil.html,Success
Green Wedges Jiaxing Zhejiang Province China,https://oppla.eu/clearing-house/case-study/green-wedges-jiaxing-zhejiang-province-china,102_Green_Wedges_Jiaxing_Zhejiang_Province_China.html,raw_html_data\102_Green_Wedges_Jiaxing_Zhejiang_Province_China.html,Success
Greening Milan Innovating Urban Spaces Through Nature Based Solutions,https://oppla.eu/clever-cities/case-study/greening-milan-innovating-urban-spaces-through-nature-based-solutions,039_Greening_Milan_Innovating_Urban_Spaces_Through_Nature_Based_Solutions.html,raw_html_data\039_Greening_Milan_Innovating_Urban_Spaces_Through_Nature_Based_Solutions.html,Success
Greenroof Experiment Barking Riverside,https://oppla.eu/turas/case-study/greenroof-experiment-barking-riverside,123_Greenroof_Experiment_Barking_Riverside.html,raw_html_data\123_Greenroof_Experiment_Barking_Riverside.html,Success
H2020 Ponderful Bois De Jussy Nbs Pondscape Biodiversity And People,https://oppla.eu/ponderful/case-study/h2020-ponderful-bois-de-jussy-nbs-pondscape-biodiversity-and-people,028_H2020_Ponderful_Bois_De_Jussy_Nbs_Pondscape_Biodiversity_And_People.html,raw_html_data\028_H2020_Ponderful_Bois_De_Jussy_Nbs_Pondscape_Biodiversity_And_People.html,Success
H2020 Ponderful Deurbanization La Pletera,https://oppla.eu/ponderful/case-study/h2020-ponderful-deurbanization-la-pletera,027_H2020_Ponderful_Deurbanization_La_Pletera.html,raw_html_data\027_H2020_Ponderful_Deurbanization_La_Pletera.html,Success
H2020 Ponderful Fyn Nbs Pondscape Biodiversity And People,https://oppla.eu/ponderful/case-study/h2020-ponderful-fyn-nbs-pondscape-biodiversity-and-people,016_H2020_Ponderful_Fyn_Nbs_Pondscape_Biodiversity_And_People.html,raw_html_data\016_H2020_Ponderful_Fyn_Nbs_Pondscape_Biodiversity_And_People.html,Success
H2020 Ponderful Golbasi Duzlugu Pondscape,https://oppla.eu/ponderful/case-study/h2020-ponderful-golbasi-duzlugu-pondscape,014_H2020_Ponderful_Golbasi_Duzlugu_Pondscape.html,raw_html_data\014_H2020_Ponderful_Golbasi_Duzlugu_Pondscape.html,Success
H2020 Ponderful Grote Getevallei Demosite,https://oppla.eu/ponderful/case-study/h2020-ponderful-grote-getevallei-demosite,022_H2020_Ponderful_Grote_Getevallei_Demosite.html,raw_html_data\022_H2020_Ponderful_Grote_Getevallei_Demosite.html,Success
H2020 Ponderful Imrahor River Valley Pondscape,https://oppla.eu/ponderful/case-study/h2020-ponderful-imrahor-river-valley-pondscape,015_H2020_Ponderful_Imrahor_River_Valley_Pondscape.html,raw_html_data\015_H2020_Ponderful_Imrahor_River_Valley_Pondscape.html,Success
H2020 Ponderful Lake Mogan Pondscape,https://oppla.eu/ponderful/case-study/h2020-ponderful-lake-mogan-pondscape,013_H2020_Ponderful_Lake_Mogan_Pondscape.html,raw_html_data\013_H2020_Ponderful_Lake_Mogan_Pondscape.html,Success
H2020 Ponderful Pikhakendonk Demosite,https://oppla.eu/ponderful/case-study/h2020-ponderful-pikhakendonk-demosite,023_H2020_Ponderful_Pikhakendonk_Demosite.html,raw_html_data\023_H2020_Ponderful_Pikhakendonk_Demosite.html,Success
H2020 Ponderful Pinkhill Meadow Nbs Small Highly Valuable Floodplain Pondscape,https://oppla.eu/ponderful/case-study/h2020-ponderful-pinkhill-meadow-nbs-small-highly-valuable-floodplain-pondscape,018_H2020_Ponderful_Pinkhill_Meadow_Nbs_Small_Highly_Valuable_Floodplain_Pondscape.html,raw_html_data\018_H2020_Ponderful_Pinkhill_Meadow_Nbs_Small_Highly_Valuable_Floodplain_Pondscape.html,Success
H2020 Ponderful Restauration Natural Hydrological Functioning Through Drainage Removal,https://oppla.eu/ponderful/case-study/h2020-ponderful-restauration-natural-hydrological-functioning-through-drainage-removal,026_H2020_Ponderful_Restauration_Natural_Hydrological_Functioning_Through_Drainage_R.html,raw_html_data\026_H2020_Ponderful_Restauration_Natural_Hydrological_Functioning_Through_Drainage_R.html,Success
H2020 Ponderful Rhone Genevois Nbs Multifunctionality Pondscape Scale,https://oppla.eu/ponderful/case-study/h2020-ponderful-rhone-genevois-nbs-multifunctionality-pondscape-scale,029_H2020_Ponderful_Rhone_Genevois_Nbs_Multifunctionality_Pondscape_Scale.html,raw_html_data\029_H2020_Ponderful_Rhone_Genevois_Nbs_Multifunctionality_Pondscape_Scale.html,Success
H2020 Ponderful Schoneiche Demo Site,https://oppla.eu/ponderful/case-study/h2020-ponderful-schoneiche-demo-site,025_H2020_Ponderful_Schoneiche_Demo_Site.html,raw_html_data\025_H2020_Ponderful_Schoneiche_Demo_Site.html,Success
H2020 Ponderful Tommelen Demosite,https://oppla.eu/ponderful/case-study/h2020-ponderful-tommelen-demosite,021_H2020_Ponderful_Tommelen_Demosite.html,raw_html_data\021_H2020_Ponderful_Tommelen_Demosite.html,Success
H2020 Ponderful Uruguay Pondscape,https://oppla.eu/ponderful/case-study/h2020-ponderful-uruguay-pondscape,024_H2020_Ponderful_Uruguay_Pondscape.html,raw_html_data\024_H2020_Ponderful_Uruguay_Pondscape.html,Success
H2020 Ponderful Water Friendly Farming Nbs Pondscape Biodiversity And Multiple Ecosystem,https://oppla.eu/ponderful/case-study/h2020-ponderful-water-friendly-farming-nbs-pondscape-biodiversity-and-multiple-ecosystem,019_H2020_Ponderful_Water_Friendly_Farming_Nbs_Pondscape_Biodiversity_And_Multiple_E.html,raw_html_data\019_H2020_Ponderful_Water_Friendly_Farming_Nbs_Pondscape_Biodiversity_And_Multiple_E.html,Success
H2020 Ponderfulthe Lystrup Nbs Pondscape Flood Risk Reduction Biodiversity And People,https://oppla.eu/ponderful/case-study/h2020-ponderfulthe-lystrup-nbs-pondscape-flood-risk-reduction-biodiversity-and-people,017_H2020_Ponderfulthe_Lystrup_Nbs_Pondscape_Flood_Risk_Reduction_Biodiversity_And_P.html,raw_html_data\017_H2020_Ponderfulthe_Lystrup_Nbs_Pondscape_Flood_Risk_Reduction_Biodiversity_And_P.html,Success
Heritage Zone Xochimilco Tlahuac And Milpa Alta Mexico City Importance Nature Based,https://oppla.eu/conexus/case-study/heritage-zone-xochimilco-tlahuac-and-milpa-alta-mexico-city-importance-nature-based,079_Heritage_Zone_Xochimilco_Tlahuac_And_Milpa_Alta_Mexico_City_Importance_Nature_Ba.html,raw_html_data\079_Heritage_Zone_Xochimilco_Tlahuac_And_Milpa_Alta_Mexico_City_Importance_Nature_Ba.html,Success
Ille Occuro Usitas Verto Damnum Incassum Pecus Praemitto Refoveo Sit Voco,https://oppla.eu/escom-scotland/case-study/ille-occuro-usitas-verto-damnum-incassum-pecus-praemitto-refoveo-sit-voco,N/A,N/A,Failed: Exceeded 30 redirects.
Improved Integrated Management Natural Resources Within Cairngorms National Park,https://oppla.eu/escom-scotland/case-study/improved-integrated-management-natural-resources-within-cairngorms-national-park,135_Improved_Integrated_Management_Natural_Resources_Within_Cairngorms_National_Park.html,raw_html_data\135_Improved_Integrated_Management_Natural_Resources_Within_Cairngorms_National_Park.html,Success
Interlace Project Chemnitz Germany Engagement Education And Collaboration Advancing,https://oppla.eu/interlace/case-study/interlace-project-chemnitz-germany-engagement-education-and-collaboration-advancing,012_Interlace_Project_Chemnitz_Germany_Engagement_Education_And_Collaboration_Advanc.html,raw_html_data\012_Interlace_Project_Chemnitz_Germany_Engagement_Education_And_Collaboration_Advanc.html,Success
Interlace Project El Corredor Biologico Interurbano Maria Aguilar Cbima Costa Rica Using,https://oppla.eu/interlace/case-study/interlace-project-el-corredor-biologico-interurbano-maria-aguilar-cbima-costa-rica-using,011_Interlace_Project_El_Corredor_Biologico_Interurbano_Maria_Aguilar_Cbima_Costa_Ri.html,raw_html_data\011_Interlace_Project_El_Corredor_Biologico_Interurbano_Maria_Aguilar_Cbima_Costa_Ri.html,Success
Interlace Project Envigado Colombia Using Nature Based Solutions Address Environmental,https://oppla.eu/interlace/case-study/interlace-project-envigado-colombia-using-nature-based-solutions-address-environmental,010_Interlace_Project_Envigado_Colombia_Using_Nature_Based_Solutions_Address_Environ.html,raw_html_data\010_Interlace_Project_Envigado_Colombia_Using_Nature_Based_Solutions_Address_Environ.html,Success
Interlace Project Granollers Spain Using Nature Based Solutions Green Transformation,https://oppla.eu/interlace/case-study/interlace-project-granollers-spain-using-nature-based-solutions-green-transformation,009_Interlace_Project_Granollers_Spain_Using_Nature_Based_Solutions_Green_Transforma.html,raw_html_data\009_Interlace_Project_Granollers_Spain_Using_Nature_Based_Solutions_Green_Transforma.html,Success
Interlace Project Metropolia Krakowska Poland Using Nature Based Solutions Enhance Urban,https://oppla.eu/interlace/case-study/interlace-project-metropolia-krakowska-poland-using-nature-based-solutions-enhance-urban,008_Interlace_Project_Metropolia_Krakowska_Poland_Using_Nature_Based_Solutions_Enhan.html,raw_html_data\008_Interlace_Project_Metropolia_Krakowska_Poland_Using_Nature_Based_Solutions_Enhan.html,Success
Interlace Project Portoviejo Ecuador Using Nature Based Solutions Sustainable Urban,https://oppla.eu/interlace/case-study/interlace-project-portoviejo-ecuador-using-nature-based-solutions-sustainable-urban,007_Interlace_Project_Portoviejo_Ecuador_Using_Nature_Based_Solutions_Sustainable_Ur.html,raw_html_data\007_Interlace_Project_Portoviejo_Ecuador_Using_Nature_Based_Solutions_Sustainable_Ur.html,Success
Izmir Turkey Re Naturing Urban Plan Nbs,https://oppla.eu/urban-greenup/case-study/izmir-turkey-re-naturing-urban-plan-nbs,041_Izmir_Turkey_Re_Naturing_Urban_Plan_Nbs.html,raw_html_data\041_Izmir_Turkey_Re_Naturing_Urban_Plan_Nbs.html,Success
L Braille Public Garden Bari Italy,https://oppla.eu/clearing-house/case-study/l-braille-public-garden-bari-italy,112_L_Braille_Public_Garden_Bari_Italy.html,raw_html_data\112_L_Braille_Public_Garden_Bari_Italy.html,Success
Landscape Park Duisburg Nord Germany,https://oppla.eu/clearing-house/case-study/landscape-park-duisburg-nord-germany,106_Landscape_Park_Duisburg_Nord_Germany.html,raw_html_data\106_Landscape_Park_Duisburg_Nord_Germany.html,Success
Landscape Park Tivoli Roznik And Siska Hill Ljubljana Slovenia,https://oppla.eu/clearing-house/case-study/landscape-park-tivoli-roznik-and-siska-hill-ljubljana-slovenia,097_Landscape_Park_Tivoli_Roznik_And_Siska_Hill_Ljubljana_Slovenia.html,raw_html_data\097_Landscape_Park_Tivoli_Roznik_And_Siska_Hill_Ljubljana_Slovenia.html,Success
Linderud Community Garden,https://oppla.eu/edicitnet/case-study/linderud-community-garden,055_Linderud_Community_Garden.html,raw_html_data\055_Linderud_Community_Garden.html,Success
Lisbon Masterplan Vale De Alcantara Green Corridor,https://oppla.eu/enroute/case-study/lisbon-masterplan-vale-de-alcantara-green-corridor,116_Lisbon_Masterplan_Vale_De_Alcantara_Green_Corridor.html,raw_html_data\116_Lisbon_Masterplan_Vale_De_Alcantara_Green_Corridor.html,Success
Living Fences Buenos Aires Improving Quality Air,https://oppla.eu/conexus/case-study/living-fences-buenos-aires-improving-quality-air,088_Living_Fences_Buenos_Aires_Improving_Quality_Air.html,raw_html_data\088_Living_Fences_Buenos_Aires_Improving_Quality_Air.html,Success
London Nbs Leading Sustainable City,https://oppla.eu/clever-cities/case-study/london-nbs-leading-sustainable-city,115_London_Nbs_Leading_Sustainable_City.html,raw_html_data\115_London_Nbs_Leading_Sustainable_City.html,Success
Magas Termeszeti Erteku Gyepteruletek Megorzese Szenes Legelon Es Mas Dunantuli,https://oppla.eu/team-hub/case-study/magas-termeszeti-erteku-gyepteruletek-megorzese-szenes-legelon-es-mas-dunantuli,043_Magas_Termeszeti_Erteku_Gyepteruletek_Megorzese_Szenes_Legelon_Es_Mas_Dunantuli.html,raw_html_data\043_Magas_Termeszeti_Erteku_Gyepteruletek_Megorzese_Szenes_Legelon_Es_Mas_Dunantuli.html,Success
