title,summary,status,location_name,country,scale,solution_types,challenges_addressed,health_linkages_primary,impacts,governance,url_source,environmental_context
"'Nature Island' Community Garden - Pennenfeld, Bonn","The Nature Island Pennenfeld-Bonn is a community garden project aimed at transforming a 1,800 sqm large tree-lined lawn area into a park-like natural community garden for recreation. The project encourages residents to get engaged in the planning, implementation and maintenance processes. It aims to enhance the quality of life for residents and elderly people living with dementia, foster and increase the local biodiversity, and strengthen community building and mutual support in the neighbourhood.",ongoing,Bonn-Pennenfeld,Germany,neighborhood,"['community gardens', 'renaturation', 'use of indigenous plants']","['green space creation and/or management', 'regeneration, land-use and urban development', 'health and well-being', 'social justice, cohesion and equity']","['improved mental health', 'improved physical health', 'creation of opportunities for recreation']","['promotion of naturalistic styles of landscape design for urban development', 'increased green space area', 'increased number of species present', 'enhanced support of pollination', 'restoration of derelict areas', 'improved social cohesion', 'improved liveability', 'increased visibility and opportunity for marginalised groups or indigenous peoples', 'improved mental health', 'improved physical health', 'gain in activities for recreation and exercise', 'increased sense of place identity, memory and belonging']","The project was initiated by the Lebensqualität im Alter - LeA (Quality of Life in Old Age) non-profit association. The project planning was supported by the communal-oriented municipal real estate company VEBOWAG. In addition, local environmental associations and NGOs, such as the 'BUND Kreisgruppe Bonn' or the local fraction of the green party, joined efforts along with the residents of the neighbourhood to help implement the natural garden.",unknown,urban
'United Way' annual tree planting campaign,"Fondo Unido Chihuahua, in collaboration with its corporate partners, is committed to raising awareness about environmental care and reforestation through its annual tree-planting campaign, 'Planting Today to Have Oxygen Tomorrow'. The initiative focuses on improving the quality of different urban green spaces in Ciudad Juárez, Mexico, and fostering ecological awareness in vulnerable communities. The primary objective is to plant a significant number of water-efficient, native trees throughout the city.",ongoing,Ciudad Juárez,Mexico,city,"['urban forests', 'green space creation and/or management', 'ecological restoration of ecosystems']","['climate change adaptation', 'environmental quality', 'deforestation and forest degradation', 'unequal availability and access to public green spaces']",['creation of opportunities for recreation'],"['reduced risk of damages by drought', 'increased number of species present']","Fondo Unido Chihuahua has been leading the initiative in collaboration with its corporate partners, local and regional governments, private companies, community organizations, and the general public. The regional Secretariat of Urban Development and Ecology provided support during the 13th edition of the tree planting campaign in 2022. In 2022 and 2024, Fondo Unido partnered with the NGO 'Juárez Limpio'.",unknown,urban
"""Gallus Garden"" Community Garden","The ""Gallus Garden"" is a community garden built in 2016 in Frankfurt, Germany. It was initiated by the Kinder im Zentrum Gallus association and the Gallus neighbourhood management. The garden consists of two areas with raised bed for families, kindergarten groups and individuals to cultivate their food there, while a third area is for community events with fruit trees.",completed,Frankfurt am Main,Germany,neighborhood,['community gardens and allotments'],"['green space creation and/or management', 'regeneration, land-use and urban development', 'social justice, cohesion and equity', 'environmental education', 'social cohesion', 'social interaction', 'health and well-being', 'sustainable consumption and production']",['creation of opportunities for recreation'],"['increased green space area', 'increased number of species present', 'increase in agricultural production', 'improved social cohesion', 'improved access to urban green space', 'increased opportunities for social interaction', 'increased involvement of locals in the management of green spaces', 'increased access to healthy/affordable food', 'gain in activities for recreation and exercise', 'increased support for education and scientific research']","The project is a result of the cooperation of several actors. The main initiators were the Inclusive Social Room Gallus project of the Kinder im Zentrum Gallus association and the Gallus neighbourhood management. The local advisory board approved the initiative, while the Green Space Office of the city, the Hessen Nature School, and some private companies such as the Deutche Bank, the BPD and the GFFB contributed to the success of the garden with a community group of local citizens which was designed by the Beuerlein / Baumgartner planning office.",unknown,urban
"""Green country"" : planting 1 million trees","The Péyi Vert initiative was launched in Martinique to plant 1 million native trees over five years, aiming to strengthen the island's biodiversity and adapt to and mitigate climate change. The initiative connects people who want to plant trees with Martinican companies that serve as financial sponsors. Between 2020 and 2023, 50,000 trees were planted.",ongoing,"Fort-de-france, Fort-de-France (FUA), Martinique",Martinique,regional,"['tree planting', 'biodiversity conservation', 'climate change adaptation', 'climate change mitigation']","['biodiversity loss', 'climate change', 'soil degradation and loss', 'air pollution']",['reduced air pollution'],"['enhanced carbon sequestration', 'improved air quality', 'reduced noise exposure', 'improved soil quality', 'increased ecological connectivity', 'increased number of species present']","Entreprises et Environnement (EE) is the leading NGO coordinating the Péyi Vert initiative. Project leaders—including companies, municipalities, public institutions, community groups, and farmers—propose and maintain tree-planting projects.",unknown,urban
"""Herzkamp"" lighthouse project in Hanover-Bothfeld","The ""Herzkamp"" lighthouse project in Hanover-Bothfeld, formerly known as “Hilligenwöhren”, is a pilot project started by the Environmental Protection Division of Hannover's Department of Environment and Urban Environment, Bothfelder Kamp GmbH & Co. KG and the Gundlach Group. The project aims to create a new residential area where climate adaptation strategies can be tested. The area will be equipped with extensive green surfaces and will aim to protect the natural environment and species.",ongoing,Hanover-Bothfeld,Germany,neighborhood,"['nature on buildings (external)', 'green roofs', 'green walls or facades', 'grey infrastructure featuring greens', 'alley or street trees and other street vegetation', 'green parking lots', 'parks and urban forests', 'large urban parks or forests', 'pocket parks/neighbourhood green spaces', 'community gardens and allotments', 'community gardens', 'green areas for water management', 'sustainable urban drainage systems']","['climate action for adaptation, resilience and mitigation', 'climate change adaptation', 'green space, habitats and biodiversity', 'habitat and biodiversity conservation', 'green space creation and/or management', 'environmental quality', 'air quality improvement', 'waste management', 'regeneration, land-use and urban development', 'regulation of built environment', 'promote natural styles of landscape design for urban development', 'economic development and employment', 'real estate development', 'employment/job creation']",[],"['lowered local temperature', 'reduced emissions', 'strengthened capacity to address climate hazards/natural disasters', 'improved air quality', 'improved waste management', 'improved stormwater management', 'reduced risk of damages by drought', 'increased green space area', 'increase of green jobs', 'improved liveability', 'improved access to urban green space', 'increased opportunities for social interaction', 'increased support for education and scientific research', 'increased knowledge of locals about local nature']","The project is co-governed by the Environmental Protection Division of Hannover's Department of Environment and Urban Environment, Bothfelder Kamp GmbH & Co. KG, the Gundlach Group, and the ""Sustainify Institute for Sustainable Research, Education, Innovation"". The Gundlach Group is responsible for the construction works. The project is funded by the Federal Ministry for the Environment, Nature Conservation and Building (BMUB).",unknown,urban
I Have A Bee Organisation,"'I have a bee' (IHAB) is an organisation for hobby beekeepers, contributing to a sustainable solution to the bee colony collapse phenomenon by popularizing bee keeping as a hobby. The group has engaged in research about traditional beekeeping and designed a new top bar hive usable in backyards or city terraces. Their 1,000,000 beehive initiative aims to ignite 1,000,000 people around the world to watch at least one beehive.",unknown,Sofia,Bulgaria,city,"['bee keeping', 'biodiversity conservation']","['bee colony collapse', 'lack of awareness about apiculture challenges']",[],"['increased conservation or restoration of ecosystems', 'reduced biodiversity loss', 'increased number of species present', 'increased protection of threatened species', 'enhanced support of pollination']","The organisation is set up and managed by the three co-founders: Petar Petrov, Stefan Zlatev and Trifon Michailov. It is also being financed only by the three of them.",unknown,urban
"""Let's return the rivers to the city"" campaign","The public initiative aims to revitalize the Podborenka river in Izhevsk, Russia, which was abandoned due to pollution and poor treatment. The project's primary goal is to increase the efficiency of urban resources and improve the ecological situation of the river. Activities include cleaning the river bed, greening the embankment zone, and educating the population about the significance of small rivers and coastal areas.",ongoing,Izhevsk,Russia,city,"['river restoration', 'urban resources efficiency', 'ecological education']","['water pollution', 'poor stormwater treatment', 'soil erosion', 'landfills in valleys']",['creation of opportunities for recreation'],"['improved water quality', 'restoration of derelict areas', 'increased access to urban green space', 'increased opportunities for social interaction', 'increased involvement of locals in the management of green spaces', 'gain in activities for recreation and exercise', 'increased support for education and scientific research', 'increased knowledge of locals about local nature']","Co-governance with government and non-government actors including local government/municipality, non-government organisation/civil society, and private sector/corporate actor/company",unknown,urban
"""Misheel"" botanical garden","The Misheel Botanical Garden is a large park located in Ulaanbaatar, Mongolia, established in 2021 along the Tuul River. The project was carried out by ""Misheel Group"" LLC in cooperation with public actors and more than 100 customer organisations. The project aims to maintain and restore the ecological balance of flora and fauna, increase the flow of the Tuul river basin by planting trees each year, and provide citizens with more leisure and recreation opportunities.",completed,Ulaanbaatar,Mongolia,neighborhood,"['green-blue infrastructure', 'biodiversity conservation', 'ecosystem restoration', 'community gardens']","['environmental quality', 'air quality improvement', 'habitat and biodiversity restoration', 'water management', 'health and well-being', 'social cohesion', 'environmental education']","['improving mental health', 'improving physical health', 'creation of opportunities for recreation']","['improved air quality', 'enhanced protection and restoration of freshwater ecosystems', 'promotion of naturalistic styles of landscape design for urban development', 'increased green space area', 'reduced biodiversity loss', 'increased protection of threatened species', 'improved access to urban green space', 'improved physical health', 'improved mental health', 'gain in activities for recreation and exercise', 'increased support for education and scientific research', 'increased knowledge of locals about local nature', 'increased awareness of nbs and their benefits']",The garden project is jointly initiated by the Misheel group and the Governor's office of the capital in 2019. The Governor's Office of Ulaanbaatar capital is the owner of the land and it gave special permission for using the land to create the garden.,unknown,urban
Planting a tree for the climate,"In anticipation of the 2016 United Nations Climate Change Conference in Marrakech, the Sidi Mohammed Benabdellah University (USMBA) of Fez launched an operation to plant 1,000 trees of different species. This intervention was part of a series of actions undertaken by the University for the Climate, with the cooperation of other partners. The project aimed to improve the urban landscape, raise citizens' awareness of climate change issues, and promote environmental education.",completed,Fez,Morocco,city,"['urban forests', 'green space creation and/or management']","['climate change mitigation', 'habitat and biodiversity conservation']",[],"['increased green space area', 'increased number of species present', 'increased support for education and scientific research', 'increased awareness of nbs and their benefits']","The intervention was initiated by the University of Sidi Mohammed Benabdellah (USMBA). The university planned and implemented the project with the help from its students, professors and some NGOs. The municipality of Fez was also involved.",unknown,urban
"""Rain garden"" along the October 28th street in Thessaloniki","The project aimed at transforming the neglected 28th of October Street in Thessaloniki through the planting of trees and the installation of flower beds that function as rain gardens. The initiative was part of the ""Integrated Green Cities"" action under the European territorial cooperation program Greece-Bulgaria 2007-2013. The project involved sustainable rainwater management and urban beautification through the use of bioretention tree stands and flower beds to collect and purify rainwater.",completed,"October 28th street, Thessaloniki",Greece,neighborhood,"['rain gardens', 'urban green spaces', 'sustainable water management']","['urban flooding', 'urban heat', 'rapid urbanization', 'unequal availability and access to public green spaces']",['creation of opportunities for recreation'],"['improved water quality', 'improved stormwater management', 'increased green space area', 'increased number of species present', 'reduced financial cost for urban management', 'increased visibility and opportunity for marginalised groups or indigenous peoples', 'increased appreciation for natural spaces', 'increased awareness of nbs and their benefits']","The project was proposed by the Municipality of Thessaloniki, along with Konstantinos Zervas, the Deputy Mayor for the Environment, Quality of Life, and Free Space. It was developed in collaboration with the Haskovo Municipality of Bulgaria and in partnership with various public sector institutions, including the Technical Chamber of Greece (Section of Central Macedonia) and the Thessaloniki Water Supply and Sewage Company (EYATH) and NGOs, the Trans Balkan Institute of Education.",unknown,urban
"""Uuliin Nuur"" Park","""Uuliin Nuur"" Park, also known as Mountain Lake or Green Lake, is a community park located in the ger district area known as Denjin Myanga of Ulaanbaatar city, Mongolia. The project involved transforming a former dumpsite into a green garden, restoring a lake, and planting approximately 1000 trees and shrubs. The park also provides recreational opportunities and free education to local children.",completed,"Denjin Myanga, Ulaanbaatar",Mongolia,neighborhood,"['green space creation', 'lake restoration', 'tree planting']","['air pollution', 'waste management', 'lack of green space']","['physical activity', 'recreation opportunities']","['lowered local temperature', 'improved air quality', 'improved water quality', 'increased green space area', 'restoration of derelict areas', 'improved social cohesion', 'improved liveability', 'increased opportunities for social interaction', 'improved mental health', 'increased knowledge of locals about local nature']","The project was led by a private citizen named S. Ulziitogtoh, who was granted the land by the then district governor. Ulziitogtokh is solely responsible for the park's maintenance and upkeep, with assistance from his father, younger brother, and some support from his neighbours. Locals and tourists have also participated in tree planting activities.",unknown,urban
The garden of senses,"The initiative transforms the central pedestrian area of via Argirio into an urban park. The project aims at rethinking the urban spaces in a green way, with urban gardens built within the whole central area. The main benefit is to give a green view of the city centre, a new dimension of the lived urban space. Workshops and manifestations are organized within the area to promote the social and cultural value of the zone.",ongoing,via Argirio,Italy,city,"['urban gardens', 'green space creation']","['green space, habitats and biodiversity', 'social justice, cohesion and equity', 'health and well-being', 'cultural heritage and cultural diversity', 'sustainable consumption and production']",['creation of opportunities for recreation'],"['increased green space area', 'increased number of species present', 'gain in activities for recreation and exercise', 'increased knowledge of locals about local nature', 'increased awareness of nbs and their benefits']","Co-governance with government and non-government actors. Municipality of Bari is the initiator of the project, providing the public space for the intervention and realizing the green area. Private architects and artists organize activities, design and create the green area. Promoverde Puglia is a private company with expertise in gardening, offering consultancy for the project. Community owners of shops and activities in via Argirio collaborate with the initiative.",unknown,urban
100 trees and 100 bushes for the Podgorze district,"In 2013, local activists initiated a project to plant 100 trees and 100 bushes in different parts of the District XIII in Kraków, financed by the participatory budget of Kraków. The project aimed to increase the aesthetic and decorative value of the area, increase the comfort of living of its inhabitants, and to obtain funds for urban greenery management. The project was implemented in 2015.",completed,"District XIII, Kraków",Poland,neighborhood,"['urban greenery management', 'biodiversity restoration']","['green space creation and/or management', 'habitat and biodiversity restoration', 'regulation of built environment']",[],"['increased green space area', 'increased number of species present']",Local activists in the district of Podgórze in Cracow developed a project proposal and applied for funds from the participatory budget.,unknown,urban
100 trees in Poznan,The ‘100 trees’ project involved replanting trees in empty spots where trees had previously grown but were later cut down in the Grunwald district of Poznan. The project aimed to enhance the aesthetics of the district and the quality of life for its inhabitants by planting trees resistant to urban conditions and salinity.,completed,"Grunwald district, Poznan",Poland,neighborhood,"['street trees and other street vegetation', 'green space creation and/or management']","['green space, habitats and biodiversity', 'environmental quality', 'regeneration, land-use and urban development']",['improving physical health'],"['promotion of naturalistic styles of landscape design for urban development', 'reduced biodiversity loss', 'restoration of derelict areas', 'improved access to urban green space', 'increased awareness of nbs and their benefits']",Co-governance with government and non-government actors. Citizens developed the idea of the project which received the funds for its implementation within the city's participatory budget.,unknown,urban
5 new stormwater retention basins,"In 2014, the Marseille Provence Métropole Urban Community commissioned five new stormwater retention basins to preserve the quality of coastal waters and reduce the risk of flooding. The project involves various activities such as restructuring of the Collector Sud Littoral, modernization of the control system of the sanitation system, and actions to preserve or reconquer the natural environment. The project aims to prevent the discharge of 1 million m3 of untreated wastewater into the Calanques National Park each year.",ongoing,Marseille,France,regional,"['stormwater retention basins', 'blue infrastructure', 'coastlines', 'green areas for water management', 'sustainable urban drainage systems']","['water management', 'flood protection', 'stormwater and rainfall management and storage', 'improvements to water quality', 'coastal resilience and marine protection', 'coastal protection / hazard mitigation', 'marine and coastal biodiversity protection', 'habitat and biodiversity conservation', 'environmental quality', 'waste management']",['creation of opportunities for recreation'],"['improved water quality', 'increased protection against flooding', 'improved stormwater management', 'enhanced protection and restoration of coastal and marine ecosystems']","The project is co-governed by the Marseille Provence Métropole Urban Community, the Seram (Marseille Sewerage Network Operations Company), and the Water Agency. The French State is also involved in this project.",unknown,coastal
A Green Promenade for Cagliari,"The project aims to revitalize Cagliari's waterfront and reconnect the city with its coastal heritage by transforming the area into a continuous green space. Over 200 new trees and 5,700 square meters of green space will be introduced, improving air quality and lowering local temperatures. The project also focuses on fostering cultural and social inclusion by developing new community hubs.",ongoing,Cagliari,Italy,city,"['urban green space', 'urban forests', 'green corridors']","['urban heat island effect', 'biodiversity loss', 'urban flooding', 'soil degradation', 'air pollution']","['improved air quality', 'reduced heat stress']","['expected improved air quality', 'expected increased green space area', 'expected increased number of species present', 'expected improved access to urban green space', 'expected gain in activities for recreation and exercise']","The project is overseen by the Municipality of Cagliari and implemented by Stefano Boeri Architetti, in association with MATE Società Cooperativa, MIC-HUB, StudioSilva, S.T.P, and archaeologist Demis Massimiliano Murgia. The project is co-funded by the EU, the local municipality and the national government.",unknown,urban
A Green River for Milan,"The 'Green River' for Milan is an urban reforestation project that aims to transform 90% of the seven abandoned railways into a continuous system of parks, woods, oases, orchards, and gardens for public use, linked by green corridors and bicycles made on the railroad tracks. The goal is to restore the derelict area while addressing urban environmental problems, creating a space where architecture and nature live in harmony.",ongoing,Milan,Italy,city,"['urban reforestation', 'green corridors', 'parks', 'woods', 'oases', 'orchards', 'gardens']","['environmental degradation', 'climate change impacts']",[],"['increased green space area', 'increased ecological connectivity across regeneration sites and scales', 'restoration of derelict areas', 'protection of natural heritage', 'protection of historic and cultural landscape / infrastructure', 'increased sense of place identity, memory and belonging']","Co-governance with government and non-government actors. The project is commissioned by the Ferrovie dello Stato, the railway company partly owned by the state. The Boeri Architect Studio has designed the project.",unknown,urban
A Green Workspace- Karupannya Factory,"The Karupannya Factory in Rangpur, Bangladesh, is a pioneering example of green industry initiatives. The factory features a green façade, rooftop, and integrated green elements, designed to improve work conditions and energy efficiency. The architecture incorporates natural light, wind, water, and flora, and promotes the idea of 'Reuse and Recycle.'",completed,Rangpur,Bangladesh,site,"['green walls and ceilings', 'green roofs', 'green walls or facades', 'green space creation and/or management', 'stormwater and rainfall management and storage']","['climate change adaptation', 'climate change mitigation', 'habitat and biodiversity conservation', 'improving mental health', 'improving physical health']","['improving mental health', 'improving physical health']","['lowered local temperature', 'increased number of species present', 'reduce financial cost for urban management']","This is a private initiative with Mr. Shafiqul Alam, the founder of Karupannya Rangpur Limited, being the initiator and funder. Architect Bayejid Mahbub Khondker and his team at Nakshabid Architects designed the Karupannya Rangpur Green Factory, while artist Saidul Haque Juise contributed to the factory aesthetics.",unknown,urban
