title,summary,status,location_name,country,scale,solution_types,challenges_addressed,health_linkages_primary,impacts,governance,url_source,environmental_context,processed_date
"INTERLACE project in Chemnitz, Germany","The INTERLACE project in Chemnitz, Germany focuses on advancing sustainable urban development and environmental conservation through nature-based solutions. The project includes the establishment of a community park repurposed from a former coal plant area, restoration of the Pleißenbach river, and various engagement and education initiatives. The project aims to foster a deeper connection between residents and their environment, promoting ecological resilience and community well-being.",unknown,Chemnitz,Germany,city,"['urban ecosystem restoration', 'community park', 'river restoration']","['urban development', 'environmental conservation']",[],"['improvements to water quality', 'improved habitats', 'increased species numbers and diversity', 'public engagement in co-producing and promoting ownership of nature-based solutions', 'increased capacity of local government to implement integrated and ecologically coherent urban planning and governance approaches', 'raised awareness and understanding of the benefits of healthy (peri)urban ecosystems for social, cultural and economic wellbeing']","Stadt Chemnitz, Ecologic Institute, Climate Alliance",https://oppla.eu/interlace/case-study/interlace-project-chemnitz-germany-engagement-education-and-collaboration-advancing,urban,2025-09-14 11:24:10
H2020 PONDERFUL: The Lake Mogan Pondscape,"The Lake Mogan Pondscape, located in the Gölbaşı Special Environmental Protection Area (SEPA), aims to conserve biodiversity, improve water management, and provide recreational spaces. It plays a critical role in flood mitigation and water quality regulation. The project involves regular monitoring of bird species and water quality, protection of sensitive areas, public education programs, waste removal, and limiting urban development.",unknown,Gölbaşı Special Environmental Protection Area,unknown,unknown,"['biodiversity conservation', 'water management', 'recreational spaces', 'flood mitigation', 'water quality regulation']","['urbanization', 'waste disposal', 'water abstraction']",['unknown'],"['biodiversity enhancement', 'human health']",Gölbaşı District Municipality,https://oppla.eu/ponderful/case-study/h2020-ponderful-lake-mogan-pondscape,urban,2025-09-14 11:24:10
H2020 PONDERFUL: The Gölbaşı Düzlüğü Pondscape,"The Gölbaşı Düzlüğü Pondscape, located between Lakes Mogan and Eymir in the Gölbaşı district of Ankara, plays a crucial role in flood prevention and water quality enhancement. The project involves restoration of ponds, removal of waste, vegetation management, and enhancement of public spaces. Despite challenges such as urban encroachment and waste disposal, it remains an important urban green space, contributing to flood mitigation, biodiversity conservation, and providing recreational opportunities.",unknown,Gölbaşı district of Ankara,unknown,city,"['restoration of ponds', 'waste removal', 'vegetation management', 'public spaces enhancement']","['urban encroachment', 'waste disposal', 'industrial activities']",['unknown'],"['flood mitigation', 'biodiversity conservation', 'recreational opportunities']",Gölbaşı District Municipality,https://oppla.eu/ponderful/case-study/h2020-ponderful-golbasi-duzlugu-pondscape,urban,2025-09-14 11:24:10
H2020 PONDERFUL: The Imrahor River Valley Pondscape,"The Imrahor River Valley Pondscape, located southeast of Ankara, covers 12 ponds, initially created for flood prevention and water retention. The project involves maintenance of existing ponds, removal of non-native species, tree planting, and waste management. The area provides crucial ecosystem services like habitat provision and water regulation, while offering recreational spaces for the public.",unknown,Imrahor River Valley,Turkey,city,"['pond restoration', 'biodiversity management', 'green infrastructure']","['flood prevention', 'water retention', 'biodiversity loss', 'pollution', 'urbanization']",['recreational spaces'],"['disaster mitigation', 'biodiversity enhancement', 'human health', 'water management']",Ankara Metropolitan Municipality,https://oppla.eu/ponderful/case-study/h2020-ponderful-imrahor-river-valley-pondscape,urban,2025-09-14 11:24:10
"H2020 PONDERFUL: The “Fyn” NBS: A Pondscape for Biodiversity, and People","This pondscape covers Ærø, Avernakø, and Birkholm islands, with over 60 ponds on mostly agricultural land. NBS aims to enhance biodiversity (e. g. amphibians, birds) and promote recreation (e.",planned,"Ærø, Avernakø, and Birkholm islands",unknown,regional,"['pondscape', 'eco-friendly farming', 'buffer zones']","['pollution', 'biodiversity']",['increase human health and well-being'],"['encourage eco-friendly farming', 'reduce pollution to the ponds', 'enhance biodiversity', 'increase human health and well-being']",unknown,https://oppla.eu/ponderful/case-study/h2020-ponderful-fyn-nbs-pondscape-biodiversity-and-people,agricultural,2025-09-14 11:24:10
"H2020 PONDERFUL:The “Lystrup” NBS: A Pondscape for Flood Risk Reduction, Biodiversity, and People","The Lystrup Pondscape is a suburban area in Aarhus, Denmark, with 18 ponds and about 10,300 inhabitants. The project, which started in 2014 and ended in 2016, aimed at reducing flood risks and runoff to the neighboring artificial lake. The ponds also enhance biodiversity and offer walking paths, educating people about nature and environmental protection.",completed,"Lystrup, Aarhus",Denmark,neighborhood,"['flood risk reduction', 'biodiversity enhancement', 'environmental education']","['flood risk', 'runoff', 'lack of biodiversity']","['increased social interaction', 'increased well-being', 'increased awareness of nbs']","['reduced flood risk', 'increased biodiversity', 'increased awareness of nbs']",unknown,https://oppla.eu/ponderful/case-study/h2020-ponderfulthe-lystrup-nbs-pondscape-flood-risk-reduction-biodiversity-and-people,urban,2025-09-14 11:24:10
H2020 PONDERFUL: Pinkhill Meadow NBS: a small but highly valuable floodplain pondscape for biodiversity,"This pondscape of newly created ponds is located in a floodplain meadow on Thames Water's Farmoor Reservoir property, near Oxford. It was designed by Freshwater Habitats Trust to maximise freshwater biodiversity and has been closely monitored since its creation in 1990. The pond complex provides clear evidence that it is possible to create new pondscapes of exceptional biodiversity value even when there are quite limited areas of land available.",ongoing,Farmoor Reservoir,England,site,"['pondscape creation', 'freshwater biodiversity maximisation']","['biodiversity conservation', 'climate change adaptation']","['increase well-being', 'provision of health benefits']","['increase achievements of biodiversity targets', 'increase biodiversity', 'increase quality and quantity of green and blue infrastructures', 'improve water quality', 'increase stakeholder awareness & knowledge about nbs']",Thames Water; Environment Agency of England and Wales; Freshwater Habitats Trust,https://oppla.eu/ponderful/case-study/h2020-ponderful-pinkhill-meadow-nbs-small-highly-valuable-floodplain-pondscape,wetland,2025-09-14 11:24:10
H2020 PONDERFUL: Water Friendly Farming NBS: a pondscape for biodiversity and multiple ecosystem services,"This project is located in a farmland near Leicester, in a typical mixed lowland farming area of central England. It involves monitoring all waterbodies in three upper catchments and creating new clean water ponds to mitigate freshwater biodiversity loss and enhance regional freshwater biodiversity. The project also aims to improve risk management and resilience, reduce flood risk, and increase biodiversity and awareness of NBS solutions.",ongoing,Leicester,England,watershed,"['water friendly farming', 'freshwater biodiversity enhancement', 'risk management and resilience', 'flood risk reduction', 'biodiversity increase']","['freshwater biodiversity loss', 'flood risk']",[],['increase in richness and tripled the number of uncommon species'],unknown,https://oppla.eu/ponderful/case-study/h2020-ponderful-water-friendly-farming-nbs-pondscape-biodiversity-and-multiple-ecosystem,agricultural,2025-09-14 11:24:10
H2020 PONDERFUL: TOMMELEN demosite,"The project involves the maintenance and restoration of a pondscape near the city of Hasselt, which was created unintentionally during World War II and designated as a nature reserve in 2006. The management involves maintenance of existing ponds, removal of alien plant species, creation of new ponds, and other actions to enhance biodiversity and human health. The project is financed by subsidies from the Flemish government and additional funding from Natuurpunt.",ongoing,Hasselt,Belgium,city,"['pond restoration', 'maintenance of forest clearings', 'removal of alien plant species', 'creation of new ponds', 'maintenance of walking paths', 'creation of observation tower', 'installation of picnic spots', 'creation and maintenance of information sheets']","['biodiversity conservation', 'human health']",['increased well-being'],"['biodiversity enhancement', 'human health improvement']",The pondscape is owned by the municipality Hasselt and managed by a nature conservation NGO (Natuurpunt). The day-to-day management is done by a local team of volunteers.,https://oppla.eu/ponderful/case-study/h2020-ponderful-tommelen-demosite,urban,2025-09-14 11:24:10
H2020 PONDERFUL: GROTE GETEVALLEI demosite,"The project focuses on nature and biodiversity conservation in the Grote Getevallei region. Actions include pond restoration and management, maintaining small landscape elements, creation of hiking trails, cycling routes, nature observation points, and a small camping site. The project also aims to increase water retention and prevent underground drainage to buffer against droughts and floods.",planned,Grote Getevallei,Belgium,regional,"['pond restoration and management', 'biodiversity conservation', 'water management']","['biodiversity loss', 'water management']",['increase human health'],"['biodiversity enhancement', 'better water management']",Natuurpunt,https://oppla.eu/ponderful/case-study/h2020-ponderful-grote-getevallei-demosite,agricultural,2025-09-14 11:24:10
H2020 PONDERFUL: PIKHAKENDONK Demosite,"The project involves the creation and management of multiple small ponds in Pikhakendonk, a NATURA 2000 area, for the purpose of biodiversity conservation. The landscape consists of meadows, old hawthorn hedges, and forest patches. Management actions include pond restoration, grassland management, and threatened species translocation.",unknown,Pikhakendonk,unknown,site,"['biodiversity conservation', 'pond restoration', 'threatened species translocation']",['biodiversity loss'],['increased well-being'],"['biodiversity enhancement', 'human health improvement']",The nature conservation NGO ‘Natuurpunt’ manages the land with the help of local volunteers and professional employees. Agreements with local farmers are used for mowing vegetation and extensive grazing by cattle.,https://oppla.eu/ponderful/case-study/h2020-ponderful-pikhakendonk-demosite,wetland,2025-09-14 11:24:10
H2020 PONDERFUL: The Uruguay Pondscape,"The project involves the construction and management of rural artificial ponds (tajamares) primarily for cattle production and secondarily for irrigation. The project aims to alleviate local biodiversity and wetland losses, regulate freshwater quantity and quality, and manage hazards and extreme events. The project also highlights the need for monitoring and management practices due to challenges posed by eutrophication, climate variability and climate change.",ongoing,Uruguay,Uruguay,regional,"['rural artificial ponds', 'biodiversity management', 'wetland management', 'freshwater regulation', 'hazard regulation']","['eutrophication', 'climate variability', 'climate change']",[],"['alleviate local biodiversity and wetland losses', 'regulation of freshwater quantity, location and timing', 'regulation of freshwater quality', 'habitat creation and maintenance', 'regulation of hazards and extreme events']","EU Horizon 2020 PONDERFUL, CSIC Grupos 882442, Uruguay, CSIC I+D 511, Uruguay",https://oppla.eu/ponderful/case-study/h2020-ponderful-uruguay-pondscape,agricultural,2025-09-14 11:24:10
H2020 PONDERFUL: Schöneiche Demo Site,"The project aims to retain water in the pondscape to prevent dry-out of ponds, enhance biodiversity, and provide a refreshing place for people to walk, relax, and learn about nature. Key actions include rainwater collection for ponds, creation and maintenance of playgrounds, paths, and bridges, and maintenance of minimum water level in some ponds to support aquatic biodiversity.",unknown,Schöneiche,unknown,unknown,"['water management', 'biodiversity enhancement', 'human health']","['dry-out of ponds', 'biodiversity loss']",['place to walk and relax'],['prevention of complete loss of the entire pondscape'],"Leibniz Institute of Freshwater Ecology and Inland Fisheries, Naturschutzaktiv Schöneiche",https://oppla.eu/ponderful/case-study/h2020-ponderful-schoneiche-demo-site,unknown,2025-09-14 11:24:10
H2020 PONDERFUL: Restauration of Natural Hydrological Functioning Through Drainage Removal,"Restoration of natural hydrological functioning in the Albera pondscape through drainage removal. The project involved locating and blocking an underground drainage system, which led to the recovery of Prat de Rosers pond and its associated flora and fauna. The restored pond now serves as a peaceful place for recreation and education about nature.",unknown,Albera pondscape,unknown,unknown,"['drainage removal', 'biodiversity conservation']","['climate change', 'drought risk', 'loss of biodiversity']",[],"['recovery of prat de rosers pond', 'restoration of habitat of community interest', 'recovery of associated flora and fauna']","Andrena Foundation, Gutina Cellar, IAEDEN, Geoserveis and UVic-UCC",https://oppla.eu/ponderful/case-study/h2020-ponderful-restauration-natural-hydrological-functioning-through-drainage-removal,agricultural,2025-09-14 11:24:10
H2020 PONDERFUL: The Deurbanization of La Pletera,"A de-construction project where a failed attempt of urbanization was substituted by a fully functional salt marsh ecosystem. The project involved the removal of the breakwater and the paved streets built for the urbanization, and the recovery of the ecological functioning of the coastal ecosystem. The project aimed to improve the existing population of Iberian toothcarp and the salt marsh vegetation.",unknown,La Pletera,unknown,site,"['ecosystem restoration', 'deurbanization', 'habitat conservation']","['biodiversity conservation', 'human health and well-being', 'water management', 'climate change adaptation']",['human health and well-being'],"['biodiversity conservation', 'human health and well-being', 'water management', 'climate change adaptation']",unknown,https://oppla.eu/ponderful/case-study/h2020-ponderful-deurbanization-la-pletera,coastal,2025-09-14 11:24:10
"H2020 PONDERFUL: The ""Bois de Jussy"" NBS - a pondscape for biodiversity and people","Bois de Jussy is a pondscape located 15 km from Geneva, containing about 70 ponds within a 6 km2 area. The project is managed by the Geneva authority in charge of Nature and Agriculture and ProNatura, with the aim to conserve and regenerate existing wetlands, create new ponds, and maintain their quality. The area is a hotspot for biodiversity and is also used for recreational activities like walking, jogging, and biking.",unknown,Bois de Jussy,Switzerland,regional,"['wetlands conservation', 'wetlands regeneration', 'new ponds creation']","['biodiversity conservation', 'public recreation']","['increased physical activity', 'well-being']","['increased biodiversity', 'improved well-being of local population and visitors']",Geneva authority in charge of Nature and Agriculture and ProNatura,https://oppla.eu/ponderful/case-study/h2020-ponderful-bois-de-jussy-nbs-pondscape-biodiversity-and-people,forest,2025-09-14 11:24:10
H2020 PONDERFUL: The 'Rhone Genevois' NBS : Multifunctionality At The Pondscape Scale,"The 'Rhone Genevois' is a large pondscape located in Switzerland, near the city of Geneva. The project involves the creation and management of ponds for biodiversity conservation and recreational activities. The management includes protection, conservation and regeneration of existing ponds, as well as the creation of new ponds and the maintenance of their good quality through management actions.",planned,Rhone Genevois,Switzerland,regional,"['pondscape creation', 'biodiversity conservation', 'recreational activities']","['biodiversity conservation', 'recreation']",['increased well-being'],"['increased biodiversity', 'increased cultural richness', 'increased accessibility to green open spaces']",The management is conducted by the regional authorities (Canton) and implemented by private consultancies. Funding is provided by the government and the hydropower company of Geneva ('SIG').,https://oppla.eu/ponderful/case-study/h2020-ponderful-rhone-genevois-nbs-multifunctionality-pondscape-scale,agricultural,2025-09-14 11:24:10
"CONEXUS (6.1) – Valdocco Vivibile: NbS for liveable and climate-proof neighbourhoods, Turin","The Valdocco Vivibile project in Turin aims to transform the Valdocco neighbourhood into a climate-proof, liveable, and wellbeing-oriented area. The project includes small-scale green infrastructure interventions such as reshaping large crossroads, constructing 'muzzles' for pedestrian crossings, extending sidewalks in front of school complexes, and installing green roofs on public transport stops. The project is part of the Horizon 2020 CONEXUS project and is designed for replication in other urban areas.",planned,"Valdocco neighbourhood, Turin",Italy,neighborhood,"['green infrastructure', 'stormwater management', 'urban green furniture', 'green roofs']","['climate resilience', 'heat islands', 'flooding', 'lack of greenery', 'high traffic', 'parasitical parking']","['improved air quality', 'increased physical activity']","['increased climate resilience', 'counteracting heat islands', 'preventing flooding', 'greening and pedestrianisation of public spaces', 'strengthened social inclusion']","Comune di Torino, Torino Urban Lab, Local primary and secondary schools",https://oppla.eu/conexus/case-study/conexus-61-valdocco-vivibile-nbs-liveable-and-climate-proof-neighbourhoods-turin,urban,2025-09-14 11:24:10
"CONEXUS (6.1) – Restoring, Protecting, and Maintaining Thriving Urban Forests: Three Pilots In The City of São Paulo","The project aims to fast-forward the urban green transition by harnessing the ecosystem services of urban forests, and while doing so, tackling socio-environmental inequalities through NbS co-creation. It establishes pilots in three parks to protect, expand, and create urban green infrastructure through nature-based solutions interventions. The project aligns with the wider vision of São Paulo City to promote urban forests as global solutions to climate change and other sustainable development challenges.",planned,São Paulo,Brazil,city,"['urban forests', 'urban green infrastructure', 'nature-based solutions']","['urban drainage', 'contamination of air and water sources', 'sanitation systems', 'climate change', 'socio-environmental inequalities']",[],"['protection, restoration, and enhancement of biodiversity', 'harnessing of forest ecosystem services', 'creation of a system for managing green public areas', 'place regeneration through improved quality and public value of green infrastructure', 'strengthening ‘sense of place’ and local identity', 'more open, transparent, participatory, and inclusive processes for green infrastructure planning and governance', 'expanded knowledge-base for upscaling the integration of ecosystem services into sustainable urbanisation actions']","The project is a collaboration between the Municipal Secretariat of Green and Environment (SVMA), Cidade Tiradentes’ Regional Administration, and São Paulo Housing Company (COHAB).",https://oppla.eu/conexus/case-study/conexus-61-restoring-protecting-and-maintaining-thriving-urban-forests-three-pilots-city,urban,2025-09-14 11:24:10
"CONEXUS (6.1) – Laboratorio BioUrbano, Santiago de Chile","The CONEXUS project in Santiago de Chile aims to address socio-environmental injustices and environmental degradation through the co-production of urban nature-based solutions. The project focuses on improving biodiversity, water and soil health, equitable distribution and access to green spaces, mitigation of heat islands, and environmental education. The project is delivered through learning communities, scientific innovation, strategic transdisciplinary alliances, and real-life experimentation which materialise five NbS pilot projects.",in-progress,Santiago de Chile,Chile,city,"['green infrastructure', 'biodiversity restoration', 'soil health improvement', 'equitable green space distribution', 'heat island mitigation', 'environmental education']","['socio-environmental injustices', 'environmental degradation', 'biodiversity loss', 'water management', 'soil health', 'social segregation', 'urban heat islands', 'air pollution']",['improved air quality'],"['development of a strategic, integrated, multilevel vision for urban green', 'spatial integration and improved connectivity of urban green spaces and biodiversity hotspots', 'rehabilitation of underutilised public spaces and habitat generation for flora and fauna', 'climate resilience', 'supporting active citizenship and participatory governance processes', 'environmental education and sensibilisation', 'technical evidence of nbs use for stabilising soil surfaces to reduce the concentration of pollutants (pm2.5 and pm10)', 'reducing, treating, and infiltrating rainwater']","Inter-sectoral partnership between academics, public institutions, private actors, and civil society",https://oppla.eu/conexus/case-study/conexus-61-laboratorio-biourbano-santiago-de-chile,urban,2025-09-14 11:24:10
CONEXUS (6.1) – LISGREEN: re-naturing urban spaces in Lisbon,"LISGREEN focuses on enhancing ecological connectivity in the inner-city area of Lisbon, where heat waves and urban heat island effects are severe. It establishes two nature-based solutions (NbS) pilots, RENATURA and Ruas Verdes+. RENATURA is in the Areeiro Parish, an area where the Eastern Green Corridor of Lisbon crosses the inner city. Ruas Verdes+ is delivered in the Actores (Areeiro), Arroios, and Penha de França neighbourhoods.",planned,Lisbon,Portugal,city,"['urban green spaces', 'ecological connectivity', 'nature-based solutions']","['urban heat island effects', 'urban liveability', 'quality of life']","['improved air quality', 'contact with nature', 'reduced urban heat']","['increased social inclusion', 'increased use of autochthonous plants', 'reduced urban heat and green house gases', 'accelerated health benefits', 'improved access to nbs', 'accelerated climate change adaptation', 'enhanced ecological connectivity in the inner city', 'redesigned urban areas', 'promoted awareness of nbs', 'created ‘quiet’ areas inside the city']",Lisbon Municipality in partnership with local parishes and civil society,https://oppla.eu/conexus/case-study/conexus-61-lisgreen-re-naturing-urban-spaces-lisbon,urban,2025-09-14 11:24:10
